tokoh,text,label
Purbaya Yudhi Sadewa,Pdhal era sby dsr cuma 20% tp ekonomi bsa tumbuh 6% sdg era jokowi dsr capai 40% tp ekonomi tumbuh cuma 5% bsa jd krna kkn+mafia  marak/mwrajalela.....,netral
Purbaya Yudhi Sadewa,Menurut Luhut Purbaya mengganggunya dari kejahatanya,netral
Sri Mulyani Indrawati,Semoga pak prabowo menghapus pajak di negri ini,netral
Purbaya Yudhi Sadewa,Menko setingkat abunawas,negatif
Sri Mulyani Indrawati,"Sekarang bnyak fitnah kawan yaitu ffitnah vidio hoak ai,memecah belah umat",positif
Purbaya Yudhi Sadewa,ekonomi .simpel buka .lapagan kerja. Marakat dapat duit belanja ke warug warurung belanja ketoko .9 bahan pokok di murah kn rakyat tenang gk mikiri politik bos,netral
Purbaya Yudhi Sadewa,"Yg saya inget dari Menkeu sebelumnya cuma defisit, utang, beban negara. Menkeu sekarang banyak jelasin tentang ekonomi yg bikin saya tertarik dan ngerti pelan-pelan.",negatif
Purbaya Yudhi Sadewa,Betul  pk .  Itu .  Kami aja  terlambat bauayar pajk aja di marah2 .   Kok org kaya gk pajk .   Aneh .,negatif
Purbaya Yudhi Sadewa,Jangan sampai ada pejabat dan prngusaha tdk bayar pajak,netral
Sri Mulyani Indrawati,Saya sangat setuju dengan pernyataan ini,netral
Purbaya Yudhi Sadewa,Untung anak buahnya pinter ya pak,netral
Sri Mulyani Indrawati,Knapa  ini pejabat publik pada gorogi berpidato gaya kurang pokus,netral
Sri Mulyani Indrawati,"DPR TDK sahkan UU perampasan aset,, akhirnya rakyat sendiri yang sah kan UU nya,😅😅😅",netral
Sri Mulyani Indrawati,Masa itu ai terlalu detail nga ada cacat cela nya,netral
Sri Mulyani Indrawati,Tolong sertakan video yg asli jika yg ini memang hoax,netral
Purbaya Yudhi Sadewa,"Memang benar 
 Pandai sebagai teknokrat tanpa diimbangi pandai secara politik sangat rawan dijegal dari bajigong2 partai, seperti si 'bodoh' misalnya",negatif
Purbaya Yudhi Sadewa,"Cukup sudah, sombong kali kau pak, kita lihat apa yang akan kau katakan ditahun-tahun mendatang tentang ekonomi negeri. 
🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
Mungkin kehancuran ekonomi bisa sedikit menghancurkan kesombongan mu!!!!",negatif
Purbaya Yudhi Sadewa,"Kuncinya sederhana jujur dengan sistem kerja yang baik, insyaallah negara maju rakyat sejahtera",netral
Purbaya Yudhi Sadewa,anak anak IT kita jago jago pak..cuma mereka yg jago tidak mau diikat/jadi asn. mereka maunya cuma di sewa. kenapa ? keahlian anak bangsa kurang di hargai oleh birokrat/negara,netral
Sri Mulyani Indrawati,itu gaji pns guru dan pensiunan diumunkan tia p berapa persen,netral
Sri Mulyani Indrawati,SEMOGA MEMBAWA KEBERUNTUNGAN DAN KEBERKAHAN BAGI KAMI PARA PENSIUNAN💪💪💪,positif
Purbaya Yudhi Sadewa,Ada yang kalah tenar nih 🫢🫢🫢,netral
Purbaya Yudhi Sadewa,hadeeeeuuuuuh makin sini makin sini daya beli masyarakat menurun drastis...barang barang naik...jualnya susah minta ampun.,negatif
Sri Mulyani Indrawati,"Semoga kita lebih teliti dan jeli 
Tidak mudah terpengaruh dg potongan² kalimat atau editan
Dari oknum yg tidak bertanggung jawab

Yg buat potongan/ edit video
Ini fitnah 
Perbuatan kejam

Karma itu nyata
Kalau si pembuat gak klarifikasi atas kesalahannya yg sengaja di buat 
Tunggu balasan dari sang maha pencipta",positif
Purbaya Yudhi Sadewa,Apa ya yg dilakukan Menkeu lama kalo liat ini....,netral
Purbaya Yudhi Sadewa,Ada purbaya ini jadi semangat nonton politik lagi kayak jaman ahok munculnawal2,netral
Purbaya Yudhi Sadewa,"Kala itu roky bilang hanya kasir😅.. Roky ini mungkin antek asing, nyerang trus.!! Bahaya nya dimana, khusus untuk politik itu tugas pemimpin.! Kalau Bahlil tidak mengikuti aturan presiden maka auto dilengserkan",netral
Purbaya Yudhi Sadewa,"Memang betul kata gusdur
 Prabowo orangnya baik hati",netral
Sri Mulyani Indrawati,slm2 sht ibu Mentri yg baik hati. merdeka,positif
Purbaya Yudhi Sadewa,"DPR yang bilang begitu, bisa dipastikan biaya pengeluaran saat nyaleg, dibiayai perusahaan perusahaan seperti itu.",netral
Sri Mulyani Indrawati,Tuntut yang edit dong klau beneran editan 😅😅😅😅,positif
Purbaya Yudhi Sadewa,"Sebagai channel jurnalistik, Forum Keadilan TV berkomitmen penuh pada penyajian informasi yang akurat dan berimbang. Kami ingin menegaskan bahwa kami tidak berafiliasi dengan judi online atau kegiatan ilegal lainnya. Komentar yang mempromosikan hal tersebut adalah hasil dari aktivitas pihak-pihak tak bertanggungjawab dan tidak mencerminkan nilai-nilai kami.",netral
Purbaya Yudhi Sadewa,"Itu aslinya para koruptor nongol dengan sendirinya,tanpa harus di mintain pengakuanya sdh jelas secara gak langsung dia lah biang keroknya koruptor",netral
Purbaya Yudhi Sadewa,Sadarlah klu kita srmua ini hanya hsmbah yg di tugaskan Allah utk melayani sesama ciptaan Tuhan dgn cinta kasih Tuhan yg sdh diberikan kpd kita.... bpk prabowo tdk perlu takut bertindak tegas agar dan tunjukan kebenaran klu benar2 benar dan salah klu benar2 salah krn czhaya illahi dlm diri kita utk menyadarkan kita dan utk bsngkit dan sadar dari kegelapan menjadi terang tdk ada lg yg tersembunyi dan yg menyesatkan menuju kebinasaan.,netral
Sri Mulyani Indrawati,"Tangkap itu orng yg suka edit"" yg begitu itu, cari akun yg penyebaran video ini jangan biar kan.",positif
Purbaya Yudhi Sadewa,"DPR jangan omong besar saja, Undang-undang perampasan aset segera disahkan, kalau tdk maka jgn harap rakyat kecil percaya lagi pada anggota DPR, selama ini kedaulatan ekonomi hancur di era rezim sebelumnya.",negatif
Sri Mulyani Indrawati,"Yg nyulut DPR, bu Menkeu kena getahnya. Salah Bu Mul apa?",positif
Sri Mulyani Indrawati,"Klau itu berita HOAX, pembuatannya hrs diproses secara hukum, jgn ada pembiaran ini dpt merusak arus informasi.",positif
Purbaya Yudhi Sadewa,Kok ga bahas harga LPG subsidi dan harga pertalite ya min...pura2 ga tahu 🤭,netral
Purbaya Yudhi Sadewa,Menurutku pejabat sebaiknya bekerja secara kolektifitas.... Krn kabinet itu adalah satu team. Tidak pengin menjadi superior diantara tim itu,netral
Sri Mulyani Indrawati,Keliatan banget editan nya dan keliatan banget sdm disini😂,positif
Sri Mulyani Indrawati,iyaa ternyata itu AI.. kasian guru dan bu SM telah di fitnah,positif
Purbaya Yudhi Sadewa,Sebenernya dia CEO yg di kirim dari masadepan 😂😅,netral
Sri Mulyani Indrawati,Per orang gratis pajak seumur hidup kkali ya 😂,netral
Purbaya Yudhi Sadewa,"Pecat aj min,Purbaya itu!!!! Nggak Pantes juga dia jadi KEMENKEU,panggil lagi aja Bu Sri Mulyani,,beliau cocok dan pantas menyandang jabatan itu,,, PECAT PURBAYA 😠",negatif
Purbaya Yudhi Sadewa,"Host channel ini sangat meniru host Bocor Alus . . . . banyak dapat ""info rahasia""   . . . .banyak ngarang sendiri 🤣",netral
Sri Mulyani Indrawati,"Yang jadi beban itu bukan gurunya tapi keluarganya, anaknya kerja nggak dapat tunjangan, istrinya dapat tunjangan, gitu",netral
Sri Mulyani Indrawati,Pengedit dan penyebar harus di tuntut pertanggungjawaban.,positif
Sri Mulyani Indrawati,"Karena direkam DPR tampak garang 
Selesai rapat dibelakang terjadi kongkalingkong",netral
Sri Mulyani Indrawati,Hrs nya pejabt 2 itu role model utk rkayat..,netral
Purbaya Yudhi Sadewa,Majukan ekonomi dgn begitu anak2 ga perlu hemat kertas buat belajar pak... artinya ortunya harus disejahterakan,netral
Purbaya Yudhi Sadewa,ya biasa lh apa bila kt menanam padi pasti kan tumbuh rumput.bila kt tanam rumput pasti padi ngga akan tumbuh.bila seseorg jujur pasti org memusuhi nya.pdhl dikoruptor yg dibasmi tp bnyak bnyak kepanasan.ada dgn org2 ini bingung juga mikir nya.,netral
Purbaya Yudhi Sadewa,Ketua MUI itu mu ngapaiiiii?😂,negatif
Purbaya Yudhi Sadewa,"Kali ini saya tak sependapat dengan Pak Purbaya, yg mengatakan ""Kegagalan  kita  menciptakan lapangan kerja."" Lapangan kerja itu ada pak tapi khusus utk keluarga org dalam serta utk TKA Tiongkok.",negatif
Purbaya Yudhi Sadewa,Mentri yg dulu mudah di arahkan oleh presidennya,negatif
Purbaya Yudhi Sadewa,feeling juga nanti ini utang whoosh di tuker sama satu pulau... khawatir ada kontrak rahasia yang dilakukan oleh pemerintah sebelumnya tentang gagal bayar utang ke china dengan ditukarnya satu pulau Indonesia..,negatif
Sri Mulyani Indrawati,"Memang pidato yg asli   itu bisa bermakna, gaji/ kesejahteraan guru itu masih jadi permasalahan/utang 
(beban) bagi negara, makanya mikir dulu sebelum berucap agar ucapan tdk menyakiti org lain yg bersangkutan.",positif
Purbaya Yudhi Sadewa,Lawan bahlil aja takut,negatif
Sri Mulyani Indrawati,"Mentri keuangan paling abadi dari era PAK SBY,PAK JOKOWI Sampai PAK PRABOWO mungkin akan dijadikan sebagai Mentri keuangan seumur hidup.",positif
Sri Mulyani Indrawati,"Anggaran mobil dinas mohon di kurangi bu. Nggak perlu banyak2..
Bisa di buat yg lain..",netral
Purbaya Yudhi Sadewa,Kapan pemerintah bisa menghentikan impor sampah?,negatif
Sri Mulyani Indrawati,"Jaman Fitnah, Sabar buu",positif
Purbaya Yudhi Sadewa,dpr ini memang harus dibubarkan aja.mereka kritik enggak punya otak. kenapa dpr aja dipajaki.,negatif
Purbaya Yudhi Sadewa,Kepentingan semua partai kan untuk kemajuan Indonesia. Iya kan? 🙄,negatif
Purbaya Yudhi Sadewa,PAJAK UTK TUNJANGAN DPR YA PAK DPR ????,negatif
Purbaya Yudhi Sadewa,Harusnya dpr dan dprd di hapus kan beres gak akan rugi negara gaji para pejabat bodoh ituuu,negatif
Sri Mulyani Indrawati,"Ini Masya Allah itu potongan video, beban negara kayaknya bukan statement negatif melainkan itu beban buat anggaran APBN 

Orang indonesia tolol tolol sih klo udh kemakan hoax makanya gampang di gonjang ganjing 😂",positif
Sri Mulyani Indrawati,semoga Prof Stela christie juga cepat mundur dan balik jadi pengajar di luar negeri sebelum kena caci maki kaum SDM rendah.,positif
Sri Mulyani Indrawati,"Mohon naikan juga Bu gaji para petani, jangan hanya gaji abdi negara saja, karena petani juga abdi negara, ahaaaaaay",netral
Sri Mulyani Indrawati,"ijin dulu sama. presiden ...bu
benar ndk begitu",netral
Sri Mulyani Indrawati,Ini pidato tahun berapa ya.... Kayaknya jamannya jokowi 2024.,netral
Sri Mulyani Indrawati,Cuma sri  m..dan amran yg baik lainnya maling..coba klu keuangan bukan sri m pasti ludessss ludes,positif
Purbaya Yudhi Sadewa,"Cuma omon2

Ente aja korupsi",negatif
Sri Mulyani Indrawati,"Gara2 AI dia jadi dipecat kan, mana org yg bikin AI. Kalo sahkan RUU Hak cipta sekalian bikin aturan warga punya hak cipta atas fisik dan suara, soalnya udh diterapkan di beberapa negara, biar gk ada kejadian kek gini lagi.",positif
Sri Mulyani Indrawati,"Mangkanya sudah jelas2 negara ini masih Krisis ekonomi 
Eeehh seenaknya DPR menaikkan tunjangan sefantastis ituuuu",netral
Purbaya Yudhi Sadewa,Ekonomi hancur lebur,negatif
Purbaya Yudhi Sadewa,Pak purbaya kalau ngomong angin Kanan doang,negatif
Sri Mulyani Indrawati,Kelihatan vidio nya diedit,positif
Purbaya Yudhi Sadewa,"audionya jelek banget, output suara beda beda, ada noice orang ngobrol di belakang",negatif
Purbaya Yudhi Sadewa,"Pajak utk rakyat turunin dong oleh Prabowo, cukai hrs diturunkan juga.

Aset negara diperbesar dari hasil tambang dan sumber daya alam ,jgn menguntungkan oligarki dan oengusaha2 besar aja",negatif
Purbaya Yudhi Sadewa,"DPR  SDH TIDAK WARAS , DPR  PERUSAK  NKRI,  PENGHIANAT RAKYAT,  DPR HARUS DI BUBARKAN.",negatif
Purbaya Yudhi Sadewa,Kdm luhut srimulyani jkwi musuh republik,negatif
Sri Mulyani Indrawati,tetep sabar mengemban tugas ibu.kuat.gk usah mendengar kata kata yg tdk perlu.sehat slalu utk ibu sri mulyani.amin,positif
Purbaya Yudhi Sadewa,Lo mah bisanya bacot tp gk bisa bantu apa apa dingeri ini,negatif
Purbaya Yudhi Sadewa,"Kereta cepat whoosh jokowi ini semuanya dari china bahkan onderdilnya kereta cepat ini kalau sudah rusak nanti di impor juga dari china biar ada  cuan juga yang akan masuk buat china. Kitanya yang bayar hutang buat mereka dan onderdilnya pun di impor juga dari china. bukannya di buat onderdilnya di indonesia tapi di impor juga dari china.  jadi, cina untung dua kali lipat . Luar biasa bisnis kotor china ini. Kitanya sampai hari kiamat tetap jadi konsumen dan budak pekerja bayar hutang beri uang ke tuannya china. Dan china tetap duduk di kursi goyang untuk memantau dan menunggu dari budak indonesia mengantar uang beri tuan china. Lalu kita senang hati juga rasanya  berucap ""koh koh.., paman, paman..😅😅😂. Kita ini tidak dianggap paman tapi justru mereka yang paman😅..tetap mereka jadi paman/koh kita tetap jadi anak anak tak punya otak dianggap tidak tahu apa apa🤣.  Jujur dari saya tidak suka dan tidak enak dalam diri saya bilang ke keturnan china atau orang china bilang koh atau paman kepada mereka karena saya ini seolah-olah anak kecil yang belum dewasa di hadapan mereka. dan seolah-olah mereka dewasa tahu segalanya dan kita anak kecil yang masih dungu bila ketemu orang china.",negatif
Sri Mulyani Indrawati,Aplikasi Ai ituu sangat meresahkan ...kita TDK bisa membedakan mana yg benarr dn salahhh,netral
Sri Mulyani Indrawati,"Innalillah ternyata ai, parah banget. Saya saja sempat kegocek, parah banget. Yang bikin beginian kena azab aja sana",positif
Purbaya Yudhi Sadewa,Pak Purbaya orang yg punya visi dan integritas tapi cuma di buat umpan oleh prabowo,negatif
Sri Mulyani Indrawati,"Meskipun ini AI, setidaknya beliau telah menghilang saat skandal era SBY, dan dpt kerjaan dari world bank, kemudian balik ke indonesia lagi dan kasus lenyap begitu saja.",positif
Purbaya Yudhi Sadewa,Lah kalau hutang buat kepentingan begini saya se 7 demi kemakmuran  warganya. Jangan woosh golongan menengah -atas aja yang bisa menikati padahal perjalan darat jakarta bandung masik bisa 😂😅,negatif
Sri Mulyani Indrawati,Kalau memang hoaks pasti pembuatnya gampang di tangkap,positif
Sri Mulyani Indrawati,Ai kadang sangat membahayakan,netral
Purbaya Yudhi Sadewa,Cara nanya dan kosa kata berikut juga narasi ada ikut tatanan seperti seorang yang lulusan sekolah .. gak usah omong kalau cuma omong macam ini ..?????,negatif
Sri Mulyani Indrawati,"Wah parah yg edit,,, 😂😂😂😂",netral
Sri Mulyani Indrawati,Ibu menteri terbaik....sehat sllu ibu menteri...,positif
Sri Mulyani Indrawati,"Bu Sri Mulyani, Anda dikenal sebagai sosok profesional yang cemerlang. Namun ketika profesionalisme harus tunduk pada kepentingan politik, maka arah dan tujuan berbangsa bisa kabur tanpa arah.*  
Dalam situasi seperti ini, terkadang langkah paling terhormat bukan terus bertahan, melainkan mundur dengan menjaga harga diri dan integritas, demi bangsa yang lebih jujur dan bermartabat.",positif
Sri Mulyani Indrawati,Pakar ekonomi merangkap pakar telematika. Buktikan kalau kalau itu ai,positif
Sri Mulyani Indrawati,"Hati2 dalam dunia digital, sangat banyak terjadi dan sangat memungkinkan playing
victim untuk mendongkrak popularitas yg sedang down atau bisa juga supaya bisa masuk dalam radar headline media sosial dan media online.",positif
Purbaya Yudhi Sadewa,"Hentikan ketololan negra ini dengan menyetujui banyak partai... Chuih... Itu hanya jalan mereka untuk nyari kuasa tapi ga berdaya. Kembalilan partai kalo perlu cukup dua. Biar para bangsat nyari proyek ga bisa muncul. Bayangkan, satu partai bisa melahirkan 5 org tolol tidak kompeten dalam satu wilayah. Kalikan satu Indonesia.",negatif
Purbaya Yudhi Sadewa,"ITU PARA ELIT TIKUS TIKUS GOT YG , BUTA MATA HATINYA",negatif
Purbaya Yudhi Sadewa,DPR. Sih gak bayar Pajak,negatif
Sri Mulyani Indrawati,"Ada aja yang ngeyel percaya, Emang GOBLOKKK",positif
Sri Mulyani Indrawati,"Para guru do'a nya diijabah oleh alloh, SEMOGA KEDHOLIMAN CEPAT SIRNA , DAN RAKYAT SEJAHTERA",positif
Sri Mulyani Indrawati,"Mantap bu men
Mntri keuangan the best",positif
Sri Mulyani Indrawati,"Sekarang mah pejabat yg korup bisa saja hartanya dijarah oleh rakyat, karena tdk diberlakukannya UU perampasan aset,",netral
Sri Mulyani Indrawati,kenapa harus di jaga sih,netral
Sri Mulyani Indrawati,"Mohon diadakan re shuffle kabinet
Mohon diganti Mentri2 yg bukan bidangnya",netral
Sri Mulyani Indrawati,"Sri Mulyani cuma bagus sebatas concept, tapi realita di lapangan, seperti deviasi anggaran tidak tepat sasaran dan pada akhirnya berujung pada uncertainty buat pelaku usaha, kebocoran anggaran, tax yang seakan2x seperti pisau bermata dua. Ibarat melukis, diawal konsep terlihat sangat brilliant tapi akan terlihat manakala pensil sudah menggores canvas.",netral
Sri Mulyani Indrawati,"Pasti Hoaks menurutku Mentri TDK mungkin omong sembarang,.... Mungkin ada orang yg memplintir ucapan Bu Mentri",positif
Sri Mulyani Indrawati,Bu Sri = The only minister that have intelligence and competence,positif
Sri Mulyani Indrawati,"assalamualaikum, ibu menteri sri mulyani sampaikan pesan saya ke presiden prabowo data pribadi setiap warga indonesia jangan di beri ke amerika bahaya, trimakasih ibu sri mulyani",positif
Sri Mulyani Indrawati,"Min, kpn presiden umumkan kenaikan gaji Asn. Tni, danpolri serta pensiunan d thn 2025?",netral
Sri Mulyani Indrawati,Agustus 2024 ..yg katanya pensiunan naik 12%..nyatanya sampai juli 2025 belum cair...sabaarr,netral
Sri Mulyani Indrawati,"Sri mulyani adalah ekonom terhebat yg kita miliki.
Cuma saja beliau berada disaat yg tidak tepat dan ditangan pemimpin yg tidak tepat dan dinegara yang korup.
Saya tetap mengagumi beliau sebagai ekonom terhebat.
Kita pernah berada dimasa yg sulit bersama beliau Sri mulyani adalah ekonom terhebat yg kita miliki.
Cuma saja beliau berada disaat yg tidak tepat dan ditangan pemimpin yg tidak tepat.
Saya tetap mengagumi beliau sebagai ekonom terhebat.
Kita pernah berada dimasa yg sulit bersama beliau saat covid dan dia membawa ekonomi kita tidak terpuruk.
Janga pernah melupakan jasa dan kerja keras beliau.
Semoga tetap sehat bu.
Mari berpikir yg cerdas covid dan dia membawa ekonomi kita tidak terpuruk.
Janga pernah melupakan jasa dan kerja keras beliau.
Semoga tetap sehat bu.
Mari berpikir yg cerdas",positif
Sri Mulyani Indrawati,Rakyat NKRI Iki wes diplokotho MULO puluhan tahun oleh kebijakan viskal kapitalis Riba dan hutang luar negeri YG KURS  MATA UANG RUPIAHNYA NJOMPLANG ANTARA RUPIAH DAN DOLAR SAKING GOBLOGE DADI MENUNGSO.   sehingga KL terjadi buntung riba kompensasine KIRIM TKI TKW KE LUAR NEGERI YG IDENTIK DGN MENJUAL TENAGA RAKYAT NKRI YG NOTABENE RAKYAT MISKIN UNTUK DI DULANG DEVISANE SBG PENGHASIL DEVISA TERBESAR KE 2 NKRI. TANPA JAMINAN KESELAMATAN YG SEMPURNA. BUKTI? TRAFICKING ORGAN TUBUH SEHINGGA HANKAM NKRI JUGA YG JD TARUHAN NYAWANYA. LAGI LAGI RAKYAT BAWAH LG YG JD KORBAN. . BUKANKAH YG JD TNI AD AU AL KEPOLISIAN BIASANYA RAKYAT YG DAH SENGSARA SECARA EKONIMJ JG MUSKIN ASALNYA DR SELURUH WILAYAH NKRI? JD KORBAN AMORAL POLITIK SELAIN JG JD KORBAN PKI NASAKOM? DAN KORBAN HUTANG LUAR NEGERI DR SISTEM PEMERINTAHAN BOBROK PULUHAN TAHUN DI SELURUH NKRI YG PENUH PENGKIANATAN?,netral
Sri Mulyani Indrawati,mungkin yang dimaksud guru merupakan tanggungan negara. tapi keliru ngomongnya. harusnya dia merevisi perkataannya,netral
Sri Mulyani Indrawati,Orang yg percaya berita ini tanpa diperivikasi langsung menghujat boleh dikatakan orang tersebut stres alias ODGJ.,netral
Sri Mulyani Indrawati,Nantinya akan diusut juga .penjaraan itu .semoga rakyat ini damai .TNI tegakan terus keadilan dan kebenaran bagi seluruh rakyat Indonesia .,netral
Sri Mulyani Indrawati,Kayak ngak tau FB proo,netral
Sri Mulyani Indrawati,"Dalam ilmu keuangan juga akunting, sewaktu menyusun laporan keuangan maupun neraca, biaya biaya atau pengeluran biasa disebut BEBAN.",netral
Sri Mulyani Indrawati,Jaga duit negara ka,netral
Sri Mulyani Indrawati,"Kami guru berharap siswa mnjdi org cerdas dn mnjdi Aset negara, kalian hrs bersabar hai siswaku ....mrk mnganggp kami beban negara..biarlh gaji kecil tuk mndidikmu, yg penting kalian mndapat ilmu tuk dirimu dnasa depanmu, jgn biarkn dirimu terluka akibat mmbela kami, jauh terpnting kalian bs mnjdi pengganti mnjdi pengelola negara ini kelak , kamu LBH penting dari kami guru yg dh tua ini...merdeka...",netral
Sri Mulyani Indrawati,"Asalamu'alaikum, Pak Presiden dan Sri Mulyani saya mohon maaf dari lahir sampai bhatin mungkin ada salah besar maupun kecil mohon dihapuskan, Aamiin",positif
Sri Mulyani Indrawati,Yg penting transparan jujur dan tetap pridencd ngelola anggaran,positif
Sri Mulyani Indrawati,"mantap....kita sedang menikmati kemajuan teknologi, dan ini perlu di kembangkan lagi ya",positif
Sri Mulyani Indrawati,"🙏🙏🙏🙏 BUKTIKAN KALAU MEMANG  VIDEO TERSEBUT TELAH DI EDIT/FAKE. TUNJUKAN  KEPADA KAMI APA PEMBICARAAN/VIDEO ASLINYA SAAT BILANG BEBAN  NEGARA. Logika nya kalau di edit  menjadi kata beban,, lantas kalimat sebenarnya apa donk?? Kenapa gak di publikasikan? Yang di ucap hanya alesan alesan saja. Hoaks lah, teknologi AI lah, perhatikan dengan seksama lah. KAMI TIDAK PERLU PENYANGKALAN YANG MENCLA MENCLE/BASA BASI. KAMI PERLU BUKTI. Jikalau kalian semua menyangkal, tolong sertakan video aslinya. Mulai dari gerakan mulut, suara, gerak gerik dan kalau perlu beberapa saksi disana yang mendengarkan langsung saat pidato ibu tersebut. JANGAN MENYANGKAL ATAU HALUS NYA KLARIFIKASI TAPI TANPA STATEMENT BUKTI VIDEO ASLINYA. 

JANGAN KEBANYAKAN BLA BLA BLA KALIAN SEMUA. MUNAFIK. UDAH SALAH BUKAN NYA MINTA MAAF MALAH MEMBELA DIRI. 

BUKTIKAN KALAU KALIAN MEMANG TIDAK DEMIKIAN/TIDAK BERSALAH !!! KAMI MASYARAKAT & GURU2 PERLU BUKTI. BUKAN BLA BLA BLA. 

Kalau merasa bicara demikian,,, sadar diri Bu/sadar diri kalian sendiri saja. jika kalian orang yang beragama. minta maaf. Udah salah gak mau minta maaf. malah ngeles🙏🙏🙏🙏",netral
Sri Mulyani Indrawati,Brarti bu Sri Mulyani di fitnah. Yg berdampak rumah nya di jarah😢😢😢,positif
