subjek,final_text,label
Sri Mulyani Indrawati,buka pajak turun sengsara rakyat paradok buku indonesia paradok moga bpk presinet tahan sampe turun,negatif
Purbaya Yudhi Sadewa,hahahanegara lanjur negara sandiwarasangat bodoh rezim bawa angin barumau ganti menteri ting bagaimna jerat opini masyarakat sajapurba orang tdk ubah kbali sang presidennyasemua team solid keburukansesuatu haram licik harap semuaprabowo munafiklain mulut diperbuatanberlagak kaya manusia gentle fakta jalan licik tempuh menangseandainya manuver jokowi pilpres kemarin tdk pro prabowo prabowo kalah pikir negara berdarahkorban demo dimanaseorang presid n kuasa tdk netral sikap titip anak ikutanhanya prabowo tutup mata busuk skenario menang pilpreslicik kanseorang prajurit sejati salah salah benarbukan senang skenario licik menang guakalau orang skenario duluan bacot kencang,negatif
Purbaya Yudhi Sadewa,uji berat prabowo krna dri mulyani ank mas world bank imf international monitoring foundation manfaat jokowi hutang ributriliun tuk infrastruktur lha prabowo purbaya inibayar cicil bunga tdedangkan pemdapatan pajak defisit dah jalan baya cari pinjam singapore jepang tau amerika iang sita korupsi dikumpulin blbi dll,negatif
Purbaya Yudhi Sadewa,jangka panjang dpr bersihmafia bubarkeuangan negara kuatrakyat sejahterabisa nikmat fasilitas gratis,positif
Sri Mulyani Indrawati,rakyat korban tutup mata kondisi serba susah serba mahal ditambahb pajak bunuh ,negatif
Purbaya Yudhi Sadewa,rakyat indonesia pihak dukung purbaya,positif
Sri Mulyani Indrawati,tiket pesawat dimurahin biar hemat,netral
Purbaya Yudhi Sadewa,bersih,positif
Purbaya Yudhi Sadewa,hadir menteri jajar direksi bni staff profil,netral
Sri Mulyani Indrawati,emak ajak becanda seriusun tu,netral
Sri Mulyani Indrawati,tax pundiiringi gaji masalahyg maslaah pajak naikgaji cenderung turunkasian rakyat hasil juta bulan,negatif
Purbaya Yudhi Sadewa,mutu,netral
Sri Mulyani Indrawati,era perintah indonesia aparat ikut didik militer tugas gembleng mental nasionalis cinta nkri,positif
Sri Mulyani Indrawati,pajak indonesia sesuai undang undang tatacara jajah,negatif
Purbaya Yudhi Sadewa,orang pinter sederhana moga sukses,positif
Purbaya Yudhi Sadewa,kasihan lihat bangsa kutu tulis nulis koran medsos sma kelas usia lantas tulis nerbitin buku koran nasional nulis medsos dll dsbgnya kutu tulis paksa tulis keluar besok hapus komputer tulis lanjur cetak koran diposting medsos jejak fisik digital abadi baca tulis hela napas ulang saksi tingkah laku netizen jilat menkeu duh duh baca tulis ulang tulis puluh cepat menjlat purbaya lupa sri mulyani iya turun rumah serbu sri mulyani menteri uang baik dunia omong kosong jabat duh rabbi elu love kebon puja juta tukin gaji thr naik gaji pns digit krisis indonesia stabil bla bla daftar aduh aduh bijak sri mulyani dipujapuji betul dampak juta pns awal sertifikasi guru mutusin menkeu purbaya naikin gaji pns jelek sri mulyani butuh jam tuju tulis pakai nppn ppn buku cetak kena tulis atas lantas nasib sri mulyani paham sungguh malang bangsa sorak sorai turun paksa mimpi sorak sorai angkat ganti memujamujinya lantas besok sorak sorai turun ganti pimpin besok turun paksa begituuuu netizen kritis henti mujamuji medsos cuih henti tengkar antem balas komen gara bain jabat unfol benci tolol banget tere liye,negatif
Purbaya Yudhi Sadewa,bodo denga narasi jujur pro rkyat dukung,positif
Purbaya Yudhi Sadewa,prediksi guru gembul thd purbaya dukung menkeu,positif
Purbaya Yudhi Sadewa,moga purbaya tinjau pajak jual coklat tani pupuk non subsidi racun pajak tani rugi harga coklat turun sulteng,negatif
Purbaya Yudhi Sadewa,orang pandai muda singkir perintah klau atur pandai orang korupsi pusing bgaimna uang negara rampoktapi klau bodoh perintah muda atur makan orang korupsi bgus klau prabowo bungkus orang korupsi dor aman takut tuhan agama blang orang wujud setan,negatif
