text,tokoh,date,video_title,channel_name,author,text_clean,prediksi_label_raw,score_keyakinan,label_final
"Lanjut pak,segera  kalau  bisa  besok",Purbaya Yudhi Sadewa,2025-12-16T04:46:01Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@DulHusin-y4y,lanjut pak segera kalau bisa besok,neutral,0.9742196798324585,Netral
Dananya Mulyani Mulyono & Termulnya juga dooong,Purbaya Yudhi Sadewa,2025-12-16T04:45:08Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@GakusahTau-o5n,dananya mulyani mulyono termulnya juga dooong,neutral,0.9937653541564941,Netral
Mantap  pak jangan di tunda tunda,Purbaya Yudhi Sadewa,2025-12-16T04:44:19Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@TitinTitin-to7tb,mantap pak jangan di tunda tunda,positive,0.9988380074501038,Positif
Pak Purbaya kades yang kedapatan koropsi langsung lepat aja kelaut,Purbaya Yudhi Sadewa,2025-12-16T04:42:01Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@inilahemak2cerdasdanberbud790,pak purbaya kades yang kedapatan koropsi langsung lepat aja kelaut,neutral,0.9983260035514832,Netral
Kades makmur hidupnya sejak ada cofid 19 th 2020,Purbaya Yudhi Sadewa,2025-12-16T04:40:53Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@CakkusKusaini,kades makmur hidupnya sejak ada cofid th,positive,0.9134523868560791,Positif
mantap pak purbaya… audit kades2,Purbaya Yudhi Sadewa,2025-12-16T04:39:42Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@ristomala889,mantap pak purbaya audit kades,positive,0.985663115978241,Positif
"Lanjutkan pak Purbaya sekarang ini Indonesia sdh kritis dl segala bidang, politik dijadikan alat untuk memperkaya pribadi dan kelompok tertentu",Purbaya Yudhi Sadewa,2025-12-16T04:39:31Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@agussubairi1818,lanjutkan pak purbaya sekarang ini indonesia sdh kritis dl segala bidang politik dijadikan alat untuk memperkaya pribadi dan kelompok tertentu,neutral,0.5314018130302429,Netral
Dana desa buat ngembalikan uwang waktu pilihan kades kan modal calon kades itu besar buat beli suara giliran jadi maka mencari ganti bekas modal ya itu korupsi dana desa?,Purbaya Yudhi Sadewa,2025-12-16T04:39:22Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@ElNattan-p9g,dana desa buat ngembalikan uwang waktu pilihan kades kan modal calon kades itu besar buat beli suara giliran jadi maka mencari ganti bekas modal ya itu korupsi dana desa,negative,0.8558656573295593,Negatif
"Gas keun Pk AUDIT DANA DESA, JALAN DESA MASIH BANYAK YANG HANCUR....DANA DESA UNTUK KESEJAHTERAAN KEPALA DESA NYA",Purbaya Yudhi Sadewa,2025-12-16T04:37:49Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@nurhayani3997,gas keun pk audit dana desa jalan desa masih banyak yang hancur dana desa untuk kesejahteraan kepala desa nya,negative,0.9956343770027161,Negatif
"Rakyat pasti stuju pak
Ratakan saja",Purbaya Yudhi Sadewa,2025-12-16T04:34:38Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@HaDi-g8b,rakyat pasti stuju pak ratakan saja,negative,0.9991698265075684,Negatif
"Demo hanya membuka kedok mereka sendiri, mungkin dirumah mereka tdk ada cermin.",Purbaya Yudhi Sadewa,2025-12-16T04:31:36Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@yanahermansyah2297,demo hanya membuka kedok mereka sendiri mungkin dirumah mereka tdk ada cermin,negative,0.9992051720619202,Negatif
"Setuju pa, berikut dgn aparatnya biar kapok, apslsgi desa saya tdk ada kemajuanya",Purbaya Yudhi Sadewa,2025-12-16T04:31:29Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@asepsaptajani1425,setuju pa berikut dgn aparatnya biar kapok apslsgi desa saya tdk ada kemajuanya,negative,0.9951015114784241,Negatif
"KADES SUDAH BERTINGKAH OTORITER DAN SPRTI DIKTATOR, BAHKAN MENEMPATKAN DIRINYA SEBAGAI RAJA DIATAS PRESIDEN DAN DPR",Purbaya Yudhi Sadewa,2025-12-16T04:31:15Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@garuda10-i7i,kades sudah bertingkah otoriter dan sprti diktator bahkan menempatkan dirinya sebagai raja diatas presiden dan dpr,negative,0.9871412515640259,Negatif
"Mampus tikus tikus kampung masuk perangkap ,,, pak Purbaya 👍👍👍",Purbaya Yudhi Sadewa,2025-12-16T04:30:28Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@dodymartinanzah,mampus tikus tikus kampung masuk perangkap pak purbaya,negative,0.9990535378456116,Negatif
Seminar seminar dana desa .. Sebaiknya di hapuskan pak.,Purbaya Yudhi Sadewa,2025-12-16T04:29:00Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@raniarmansyah6861,seminar seminar dana desa sebaiknya di hapuskan pak,neutral,0.9936404824256897,Netral
"Mantaaap pak purbaya cara kerjanya.
Bisa lihat para kades yang.hauus uang",Purbaya Yudhi Sadewa,2025-12-16T04:28:26Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@januaruntung-bk1fw,mantaaap pak purbaya cara kerjanya bisa lihat para kades yang hauus uang,neutral,0.8648651242256165,Netral
"muantak terutama mak yg joget,,  langsung periksa",Purbaya Yudhi Sadewa,2025-12-16T04:23:56Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@nuralifah5248,muantak terutama mak yg joget langsung periksa,negative,0.995477020740509,Negatif
"TETAPI  BAGI KAMI YANG  PALING ITAMA DI AWASI  ADALAH  PARA PENGUSAHA-PENGUSAHA  KETURUNAN CHINA BACIN DAN LICIK  YANG  HARUS DI PRIKSA  LEBIH DULU.
ORANG-ORANG  ITU DARI DULU  PASTI BANYAK  MERUGIKAN  INDONESIA  DAN MEMBUAT  RAKYAT INDONESIA  MENDERITA. ORANG-ORANG  KETURUNAN  CHINA  INI SEHARUSNYA TIDAK  BOLEH BEBAS  DALAM  MENGELOLA  USAHA DI INDONESIA. 
KARENA  UJUNGNYA  PASTI AKAN MENGUASAI  INDONESIA  DAN RAKYAT INDONESIA  DI JADIKAN  PEKERJA UNTUK  MEREKA. SEDANGKAN  ORANG-ORANG  CHINA  ITU SEBENARNYA  PICIK DAN LICIK.
BELAJARLAH SEPERTI KOREA SELATAN 
ORANG  CHINA TIDAK  BOLEH  JADI TUAN DI NEGERINYA.",Purbaya Yudhi Sadewa,2025-12-16T04:22:34Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@SebentarKang,tetapi bagi kami yang paling itama di awasi adalah para pengusaha pengusaha keturunan china bacin dan licik yang harus di priksa lebih dulu orang orang itu dari dulu pasti banyak merugikan indonesia dan membuat rakyat indonesia menderita orang orang keturunan china ini seharusnya tidak boleh bebas dalam mengelola usaha di indonesia karena ujungnya pasti akan menguasai indonesia dan rakyat indonesia di jadikan pekerja untuk mereka sedangkan orang orang china itu sebenarnya picik dan licik belajarlah seperti korea selatan orang china tidak boleh jadi tuan di negerinya,negative,0.9992270469665527,Negatif
Gass,Purbaya Yudhi Sadewa,2025-12-16T04:21:32Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@ArdhiAdi-h7q,gass,positive,0.8996350169181824,Positif
Luaaaar biasa PK purbaya,Purbaya Yudhi Sadewa,2025-12-16T04:21:19Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@zenalabidin3791,luaaaar biasa pk purbaya,positive,0.9426551461219788,Positif
"Yg jadi bendahara keponakan,,yg jadi sekretaris,,anaknya sendiriii,,,,yg  pemborong saudara laki2 nyaaa,,,jos gandoss,,,",Purbaya Yudhi Sadewa,2025-12-16T04:20:05Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@rumipadangan2281,yg jadi bendahara keponakan yg jadi sekretaris anaknya sendiriii yg pemborong saudara laki nyaaa jos gandoss,negative,0.7647846341133118,Negatif
"Dasar gk punya malu, hapus skalian dana desa pak, gk ada manfaatnya buat masarkt,",Purbaya Yudhi Sadewa,2025-12-16T04:18:41Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@AtoSuyanto-f2d6y,dasar gk punya malu hapus skalian dana desa pak gk ada manfaatnya buat masarkt,negative,0.9986302852630615,Negatif
"Beetuuuuull sekali paaak,,di audit aja para kepala desa itu Paak",Purbaya Yudhi Sadewa,2025-12-16T04:18:29Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@rumipadangan2281,beetuuuuull sekali paaak di audit aja para kepala desa itu paak,negative,0.9992437362670898,Negatif
Kapan diauditnya?,Purbaya Yudhi Sadewa,2025-12-16T04:17:16Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@Boboho-b1l,kapan diauditnya,negative,0.9990656971931458,Negatif
Ayo netizen kita dukung pejabat yang seperti ini...sebaliknya tenggelamkan pejabat yang otaknya mau korupsi uang rakyat,Purbaya Yudhi Sadewa,2025-12-16T04:15:02Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@suprihartiyanti8809,ayo netizen kita dukung pejabat yang seperti ini sebaliknya tenggelamkan pejabat yang otaknya mau korupsi uang rakyat,negative,0.9994828701019287,Negatif
Buktikan pak diaudit seluruh kades dan dana desanya,Purbaya Yudhi Sadewa,2025-12-16T04:14:43Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@AhmadFauzi-y7t,buktikan pak diaudit seluruh kades dan dana desanya,neutral,0.995152473449707,Netral
"kades"" memang perlu di cek ke kantor"" desa kades"" ternyata kerjanya banyak korupsi ini jelas dan fakta",Purbaya Yudhi Sadewa,2025-12-16T04:12:30Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@GondoRio-g7e,kades memang perlu di cek ke kantor desa kades ternyata kerjanya banyak korupsi ini jelas dan fakta,negative,0.9894670844078064,Negatif
"Hentikan saja pa menteri, percuma di kasih uang dana desa' lagi, nanti nya uangnya di timbun, kaya pejabat pejabat yg lain",Purbaya Yudhi Sadewa,2025-12-16T04:12:08Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@sumitriasih12,hentikan saja pa menteri percuma di kasih uang dana desa lagi nanti nya uangnya di timbun kaya pejabat pejabat yg lain,negative,0.998400866985321,Negatif
Mantap  pak purbaya,Purbaya Yudhi Sadewa,2025-12-16T04:11:27Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@SuPramono-r9o,mantap pak purbaya,positive,0.9988405108451843,Positif
"bongkar semua pak kami rakyat mendukung anda,memang semua harus di audit. sebab yg kami lihat kerja mereka tidak untuk rakyat melainkan untuk memperkaya diri✌️✌️✌️",Purbaya Yudhi Sadewa,2025-12-16T04:10:59Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@AntonDije,bongkar semua pak kami rakyat mendukung anda memang semua harus di audit sebab yg kami lihat kerja mereka tidak untuk rakyat melainkan untuk memperkaya diri,negative,0.9991693496704102,Negatif
Lanjut Paak mantap,Purbaya Yudhi Sadewa,2025-12-16T04:08:30Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@revonitaolivia2042,lanjut paak mantap,positive,0.9984762072563171,Positif
Kami dukung usul dibagi rata adil dan berafap.seluruh rakyat indonesia ank2 yg kerja tdk tto hrs dpt juga biar itu ank org pensiinan smg di kajsanakan jgn tebang pilih.,Purbaya Yudhi Sadewa,2025-12-16T04:06:44Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@CandraNeh,kami dukung usul dibagi rata adil dan berafap seluruh rakyat indonesia ank yg kerja tdk tto hrs dpt juga biar itu ank org pensiinan smg di kajsanakan jgn tebang pilih,positive,0.520423412322998,Positif
Di audit saja dana desa pak Purbaya kalau bapak ngk audit  berarti bapak yg biarkan KDS berbuat dosa  bapak juga kenak dosaya kalau bapak ngk biarkan,Purbaya Yudhi Sadewa,2025-12-16T04:05:59Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@MatpeciSurbakti,di audit saja dana desa pak purbaya kalau bapak ngk audit berarti bapak yg biarkan kds berbuat dosa bapak juga kenak dosaya kalau bapak ngk biarkan,negative,0.9987965822219849,Negatif
Seluruh kades Indonesia ya pk.,Purbaya Yudhi Sadewa,2025-12-16T04:05:40Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@omihlaelawati2360,seluruh kades indonesia ya pk,neutral,0.9986183643341064,Netral
"Ayo gas pak
Di desaku g ada kemajuan jga , mana gunanya dana desa itu",Purbaya Yudhi Sadewa,2025-12-16T04:04:24Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@depotjawatimur1682,ayo gas pak di desaku g ada kemajuan jga mana gunanya dana desa itu,negative,0.999015212059021,Negatif
"sudah tdk lgi rhasia umum skrng kpla desa sejak ada kucuran dana rata"" kpla desa punya mbil baru jug rumah megah... itu hasil dari mna lgi kalau bukan dri uang.............  mknya harus diaudit lngsung biar jls uang rakyat trbangnya kmana..  kmu mmang hebat mnkeu 👍👍👍👍. 

klo indo dpimpin orang"" yg jujur berani niscaya indo akan tumbuh sesuai jaman",Purbaya Yudhi Sadewa,2025-12-16T04:02:55Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@AndiPra-k1i,sudah tdk lgi rhasia umum skrng kpla desa sejak ada kucuran dana rata kpla desa punya mbil baru jug rumah megah itu hasil dari mna lgi kalau bukan dri uang mknya harus diaudit lngsung biar jls uang rakyat trbangnya kmana kmu mmang hebat mnkeu klo indo dpimpin orang yg jujur berani niscaya indo akan tumbuh sesuai jaman,positive,0.9933686852455139,Positif
Betul pak.pada punya mobil.uang dri mana.,Purbaya Yudhi Sadewa,2025-12-16T04:02:38Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@Nurmawati-e6f,betul pak pada punya mobil uang dri mana,positive,0.5263175368309021,Positif
Segera secepatnya anggaran desa di desa sampali kecamatan percut sei tuan kabupaten Deli Serdang Sumut sejak thn 2019 hingga skg....periksa bendaharanya dan kadesnya,Purbaya Yudhi Sadewa,2025-12-16T04:00:15Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@Nuriyadi-m2n,segera secepatnya anggaran desa di desa sampali kecamatan percut sei tuan kabupaten deli serdang sumut sejak thn hingga skg periksa bendaharanya dan kadesnya,neutral,0.9973143935203552,Netral
"Betul pak Pur,semua kades melakukan korupsi ,apalagi ada kucuran dana desa.biasanya naik sepeda montor jadi lurah ganti Pajero.",Purbaya Yudhi Sadewa,2025-12-16T03:59:17Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@BambangKristanto-i2n,betul pak pur semua kades melakukan korupsi apalagi ada kucuran dana desa biasanya naik sepeda montor jadi lurah ganti pajero,negative,0.8467272520065308,Negatif
Gaaas keun pak,Purbaya Yudhi Sadewa,2025-12-16T03:58:16Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@ZaenalAbidin-j9m,gaaas keun pak,negative,0.6657207608222961,Negatif
Rakyat mendukung pak Purbaya,Purbaya Yudhi Sadewa,2025-12-16T03:56:42Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@wahyudwipudjonarko6646,rakyat mendukung pak purbaya,positive,0.9989129304885864,Positif
Setuju PK audit 😮,Purbaya Yudhi Sadewa,2025-12-16T03:56:24Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@RNurlaeli,setuju pk audit,neutral,0.8348767757415771,Netral
Mantap langsung pa di audit,Purbaya Yudhi Sadewa,2025-12-16T03:56:04Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@viviiaabia,mantap langsung pa di audit,positive,0.9971882700920105,Positif
SANGAT SETUJU PAK,Purbaya Yudhi Sadewa,2025-12-16T03:54:50Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@TotoRadiyono,sangat setuju pak,positive,0.9885267019271851,Positif
setujuuuu pak,Purbaya Yudhi Sadewa,2025-12-16T03:53:35Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@NurSuryanah-nd2qm,setujuuuu pak,positive,0.9965219497680664,Positif
Setujuuuuuu👍👍👍,Purbaya Yudhi Sadewa,2025-12-16T03:53:22Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@ImatRahmawati,setujuuuuuu,positive,0.9980319142341614,Positif
ok CPT dan laksanakan spy TDK terkesan omon2 seluruh rakyat mendukungmu,Purbaya Yudhi Sadewa,2025-12-16T03:50:57Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@ShifaKaylaAsifaRamadhani-pw8rl,ok cpt dan laksanakan spy tdk terkesan omon seluruh rakyat mendukungmu,negative,0.7177455425262451,Negatif
"Guk guk guk guk guk ya gukguk,,rasain tu kepdes pada demo,,di audit satu persatu,,,bisa struk tu,, wkwkwk wkwkwk wkwkwk",Purbaya Yudhi Sadewa,2025-12-16T03:50:46Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@SupriadiJalu80,guk guk guk guk guk ya gukguk rasain tu kepdes pada demo di audit satu persatu bisa struk tu wkwkwk wkwkwk wkwkwk,negative,0.9908088445663452,Negatif
"Kami masarakat setujuuuu,,pak gas terusss,,,biar tau,,,itu kades2 itu banyak terjadi penyelewengan dana,,,yg tak jelas yg di buat,,,agar uang itu Ter lihat di gunakan,,,ada yg puluhan tahun nggk pernah di buat? Di buat,,kan nggk perlu,,rakyat itu perlu makan saat ini,",Purbaya Yudhi Sadewa,2025-12-16T03:48:17Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@cintabungazainal8363,kami masarakat setujuuuu pak gas terusss biar tau itu kades itu banyak terjadi penyelewengan dana yg tak jelas yg di buat agar uang itu ter lihat di gunakan ada yg puluhan tahun nggk pernah di buat di buat kan nggk perlu rakyat itu perlu makan saat ini,negative,0.9982047080993652,Negatif
Mantaaapp setuju pak pur audit saja,Purbaya Yudhi Sadewa,2025-12-16T03:46:24Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@yanawaryana1419,mantaaapp setuju pak pur audit saja,neutral,0.9848938584327698,Netral
"periksa aja pak biar tahu diri , biar rakyatnya tahu kepala desa dan aparatnya korupsi",Purbaya Yudhi Sadewa,2025-12-16T03:44:48Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@NurkaNurkama,periksa aja pak biar tahu diri biar rakyatnya tahu kepala desa dan aparatnya korupsi,negative,0.998042106628418,Negatif
Pecat saja pak kades yg kmren ikut demo. Indonesia ga butuh kades yg kmren demo. Indonesia butuh kades yg mensejahterakan desanya,Purbaya Yudhi Sadewa,2025-12-16T03:43:44Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@sultannasir,pecat saja pak kades yg kmren ikut demo indonesia ga butuh kades yg kmren demo indonesia butuh kades yg mensejahterakan desanya,negative,0.9961161613464355,Negatif
Pantang mundur pak Purbaya,Purbaya Yudhi Sadewa,2025-12-16T03:40:45Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@TantiusSudiyanto,pantang mundur pak purbaya,positive,0.9414478540420532,Positif
"Jiwa terpilih SP.. 
SEKALI LAGI.. ""LNGSUNG SEMUA KADES SERENTAK SE INDONESIA...",Purbaya Yudhi Sadewa,2025-12-16T03:40:33Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@WiwiekTjiptaningtyastuti,jiwa terpilih sp sekali lagi lngsung semua kades serentak se indonesia,neutral,0.9694442749023438,Netral
Bakal ada lowongan kades baru.nih.....keren😅,Purbaya Yudhi Sadewa,2025-12-16T03:38:57Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@darsihsastro8927,bakal ada lowongan kades baru nih keren,neutral,0.9809733033180237,Netral
Sgr aj diperiksa pk  rata2 pada korupsi,Purbaya Yudhi Sadewa,2025-12-16T03:37:58Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@SupriyonoMutiaraonix,sgr aj diperiksa pk rata pada korupsi,neutral,0.9987873435020447,Netral
Hapus dana desa... Dana desa dibuat ladang korupsi,Purbaya Yudhi Sadewa,2025-12-16T03:37:45Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@krupukpuly1623,hapus dana desa dana desa dibuat ladang korupsi,neutral,0.9894999861717224,Netral
"Setuju sekali Pa Purbaya,, menteri yang keren,,semoga Allah Subhanahuu Wata'ala selalu memberikan kemudahan, kelancaran dan Perlindungan utk keberhasilan tugas yg diemban..sehat selalu Pa Menteri",Purbaya Yudhi Sadewa,2025-12-16T03:36:51Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@nuraenikomarudin6025,setuju sekali pa purbaya menteri yang keren semoga allah subhanahuu wata ala selalu memberikan kemudahan kelancaran dan perlindungan utk keberhasilan tugas yg diemban sehat selalu pa menteri,positive,0.9966636300086975,Positif
"GASKEN PAK MENTERI, BIAR RASA TUH KEPALA DESA NU TE JUJUR😊🙏",Purbaya Yudhi Sadewa,2025-12-16T03:35:02Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@yayukarsiah1543,gasken pak menteri biar rasa tuh kepala desa nu te jujur,neutral,0.9986692667007446,Netral
Kades mapia korupror harus di audit dana desa nya,Purbaya Yudhi Sadewa,2025-12-16T03:34:07Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@HendiSupriadin-o6o,kades mapia korupror harus di audit dana desa nya,neutral,0.7920993566513062,Netral
Daftar hadir peserta unjuk rasa tidak jelas siapa yg diperjuangkan itu oleh kades di Jakarta awal Desember 2025 tinggal cak cek saja.,Purbaya Yudhi Sadewa,2025-12-16T03:31:56Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@GdarkowiSaja,daftar hadir peserta unjuk rasa tidak jelas siapa yg diperjuangkan itu oleh kades di jakarta awal desember tinggal cak cek saja,neutral,0.9909079074859619,Netral
"Cocoook,....audit smua itu kades2 termul yg suka foya2 pakae uang desa.",Purbaya Yudhi Sadewa,2025-12-16T03:31:21Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@Tambahapik-h1c,cocoook audit smua itu kades termul yg suka foya pakae uang desa,negative,0.9710398316383362,Negatif
Ini baru mantap,Purbaya Yudhi Sadewa,2025-12-16T03:30:36Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@ZayniahNiah,ini baru mantap,positive,0.9080210328102112,Positif
Dana desa di pelusuk -pelusuk Coman jadi santapan empuk aparat desa aj...,Purbaya Yudhi Sadewa,2025-12-16T03:27:21Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@RahmatMulyadi-e4i,dana desa di pelusuk pelusuk coman jadi santapan empuk aparat desa aj,negative,0.716484010219574,Negatif
"Saya mendukung P. Purbaya, maju terus pantang mundur, audit saja semua Kades di Indonesia, terutama yg demo",Purbaya Yudhi Sadewa,2025-12-16T03:26:46Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@AbuYaminmakki-n2t1s,saya mendukung p purbaya maju terus pantang mundur audit saja semua kades di indonesia terutama yg demo,positive,0.6982138156890869,Positif
Masuk p Ekoooo,Purbaya Yudhi Sadewa,2025-12-16T03:26:31Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@divaaulia-lp3jw,masuk p ekoooo,positive,0.8210433125495911,Positif
Konangan n terekam tv jd gampang nangkapnya 😂😂😂😂 sebagai bukti para pendosa 😂😂,Purbaya Yudhi Sadewa,2025-12-16T03:24:32Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@MohamadAini-ox2si,konangan n terekam tv jd gampang nangkapnya sebagai bukti para pendosa,negative,0.9351482391357422,Negatif
"Untuk tangkap tikus GK usah dtg ke rmh nya, cukup stop makanan nya... menyala pak Purbaya",Purbaya Yudhi Sadewa,2025-12-16T03:22:52Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@DonnySusanto-v9m,untuk tangkap tikus gk usah dtg ke rmh nya cukup stop makanan nya menyala pak purbaya,neutral,0.7494628429412842,Netral
Cocok lanjutkan p Purbaya rakyat bersatu mendukungmu,Purbaya Yudhi Sadewa,2025-12-16T03:22:51Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@atharulmutakim7092,cocok lanjutkan p purbaya rakyat bersatu mendukungmu,positive,0.9989060163497925,Positif
"Lhaaah.. setujuuuu Bapak Purbaya... Supaya lebih tepat sasaran nantinya ANGGARAN DANA DESA pada hajat hidup rakyat bukan untuk KEPALA DESA dengan kebutuhan hidup super banyak "" ORA ANA MAREME "".. Bapak Prabowo Subianto memang Bapak Rakyat kecil Bangsa Indonesia..",Purbaya Yudhi Sadewa,2025-12-16T03:22:38Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@PramuHayati,lhaaah setujuuuu bapak purbaya supaya lebih tepat sasaran nantinya anggaran dana desa pada hajat hidup rakyat bukan untuk kepala desa dengan kebutuhan hidup super banyak ora ana mareme bapak prabowo subianto memang bapak rakyat kecil bangsa indonesia,negative,0.8335185050964355,Negatif
Dikira RI 1 nya masih pk J. Hhhhh.Lanjutkan pk Menteri👍👍👍,Purbaya Yudhi Sadewa,2025-12-16T03:22:37Z,menyala 🔥 pak Purbaya 😁#faktamenarik #katakatabijak #quotes,masrujali76 channel,@PriantoHartono-bh7gr,dikira ri nya masih pk j hhhhh lanjutkan pk menteri,neutral,0.9975038170814514,Netral
